grnti_id;grnti_name
67.03.05;Строительная физика
67.09.00;Строительные материалы и изделия
67.09.05;Общая характеристика и классификация строительных материалов и изделий. Материаловедение
67.09.29;Нерудные и неметаллорудные строительные материалы
67.09.31;Минеральные вяжущие вещества в строительстве
67.09.33;Бетоны. Железобетон. Строительные растворы, смеси, составы
67.09.35;Обожженные материалы и изделия в строительстве
67.09.37;Стекло и другие плавленые материалы в строительстве
67.09.39;Металлы, используемые в строительстве, и изделия из них
67.09.45;Строительные материалы и изделия на основе полимеров
67.09.47;Строительные химикаты
67.09.55;Композиционные материалы
67.09.91;Отходы производства и их использование
67.11.00;Строительные конструкции
67.11.03;Типология строительных конструкций
67.11.29;Основания и фундаменты
67.11.31;Бетонные и железобетонные конструкции
67.11.33;Каменные и армокаменные конструкции
67.11.35;Металлические конструкции
67.11.39;Конструкции с применением пластмасс и стекла
67.11.41;Комбинированные конструкции
67.11.59;Сейсмостойкие конструкции
90.00.00;МЕТРОЛОГИЯ
90.27.00;Измерения отдельных величин и характеристик
90.27.28;Измерения механических величин
90.27.29;Измерения параметров потока, расхода, уровня, объема веществ
90.27.30;Измерения давления, вакуумные измерения
90.27.31;Измерения состава и физико-химических свойств веществ
90.27.32;Теплофизические и температурные измерения
73.00.00;ТРАНСПОРТ
73.31.00;Автомобильный транспорт
73.31.11;Автомобильные дороги
73.31.13;Искусственные сооружения на автомобильных дорогах
